"","10A-16S","10B-16S","10C-16S","10D-16S","10E-16S","16A-16S","16B-16S","16C-16S","16D-16S","16E-16S","1A-16S","1B-16S","1C-16S","1D-16S","1E-16S","2A-16S","2B-16S","2C-16S","2D-16S","2E-16S","3A-16S","3B-16S","3C-16S","3D-16S","3E-16S","4A-16S","4B-16S","4C-16S","4D-16S","4E-16S","5A-16S","5B-16S","5C-16S","5D-16S","5E-16S","6A-16S","6B-16S","6C-16S","6D-16S","6E-16S","8A-16S","8B-16S","8C-16S","8D-16S","8E-16S","D0-16S"
"OTU_3010",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_1299",0,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,4,0,1,0,1,3,0,3,0,1,7,0,2,0,0,1,0,0
"OTU_1990",0,4,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5,1,0,0,1,2,1,0,0,0,0,1,2,3,1,4,0,1,1
"OTU_4203",0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0,3
"OTU_2629",0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4
"OTU_2561",0,2,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,1,0,2,0,0,0,1,4,1,0,0,3,3,0,0,0,2,0,3,1
"OTU_2644",0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,2,1,0,1,2,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,3,3,1,0,0,0,4,5
"OTU_1961",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,1,0,6,0,1,0,0,4,1,0
"OTU_4669",0,2,1,0,0,3,0,2,0,1,1,1,0,0,0,1,2,0,0,0,0,1,2,1,0,3,0,1,3,0,2,2,1,2,2,1,1,0,2,1,0,1,1,3,1,4
"OTU_3045",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0
"OTU_3295",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
"OTU_1364",0,6,0,0,1,1,1,0,0,0,2,1,0,0,3,13,3,7,12,3,4,5,2,17,0,8,4,0,10,0,2,1,3,16,0,4,1,1,4,2,2,1,0,2,0,14
"OTU_1931",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0
"OTU_4154",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"OTU_4142",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"OTU_4991",0,2,3,0,0,1,1,7,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,1,0,2,1,0,2,2
"OTU_4437",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4978",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"OTU_1983",0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,2,8
"OTU_4913",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"OTU_4226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1920",0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,1,0,0,1,1,2,1,4
"OTU_2414",0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,2,0,3,0,0,0,8,0,1,0,1,1,4,1,1,1,0,3,3,2,1,3,0,0,0,1,1,1,1,1,0
"OTU_3598",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0
"OTU_2951",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_1545",0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,2,2,0,7,2,6,0,2,1,3,1,0,0,0,1,6,0,1,2,0,4,0,0,1,0,1,0,0
"OTU_2529",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"OTU_2852",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"OTU_1377",0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,0,1,2,1,0,0,6,4,0,4,0,1,1,0,5,0,4,1,1,5,0,3,0,0,1,0,0
"OTU_1108",0,2,2,0,1,3,0,0,1,1,1,1,1,1,0,2,6,0,0,3,0,1,1,3,1,0,1,1,3,0,1,1,2,0,0,1,0,0,1,1,2,0,0,1,3,33
"OTU_5021",0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,2,0,0,0,1,0,3,1,0,6,0,5,0,1,1,2,1,0,0,2,2,1,0,0,2,1,1
"OTU_2480",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
"OTU_3207",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0
"OTU_3604",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"OTU_2925",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
"OTU_1802",0,4,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,1,0,1,0,0,4,0,3,0,11,0,0,1,0,2,2,0,1,0,2
"OTU_2661",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,1,2,0,1
"OTU_4504",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"OTU_4122",0,8,1,0,0,0,0,1,0,0,3,4,3,3,6,2,7,1,1,10,34,50,29,33,0,8,15,18,13,8,8,25,7,16,0,4,3,4,1,0,3,0,4,4,0,0
"OTU_927",0,5,0,2,0,0,0,0,0,1,1,5,0,0,0,2,2,4,4,2,1,12,1,7,0,3,4,0,12,1,1,0,1,3,0,10,2,2,6,1,7,1,0,4,0,3
"OTU_1809",0,1,1,0,0,0,0,0,0,0,1,1,0,0,9,0,1,0,0,1,0,3,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"OTU_2698",0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
"OTU_1890",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,3,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8
"OTU_442",0,1,3,2,6,0,0,3,0,1,2,1,2,1,7,2,6,2,3,16,20,13,23,12,7,1,2,18,4,15,13,23,25,11,1,4,5,2,3,3,1,0,6,3,2,0
"OTU_2401",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,5,1,0,0,0,1,2,1,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,1,1
"OTU_1443",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,4,0,1,0,1,0,6,2,0,1,0,0,0,0,1,0,0,1,0,1
"OTU_3767",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,1
"OTU_1494",0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,7
"OTU_1151",0,3,0,0,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,3,5,2,1,3,5,3,4,0
"OTU_3980",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_2296",0,2,0,0,1,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,14
"OTU_1476",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,8
"OTU_2261",0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7
"OTU_3534",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"OTU_3622",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3
"OTU_2152",0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,8
"OTU_4086",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_2729",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
"OTU_2827",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"OTU_3210",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"OTU_2870",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"OTU_2476",0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_4506",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"OTU_2050",0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,2,5
"OTU_403",0,1,0,1,0,1,0,0,0,2,38,27,26,89,54,28,35,4,23,53,14,13,20,32,8,54,8,48,31,7,15,11,10,21,4,8,2,2,7,7,1,1,7,0,6,1
"OTU_2576",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,3,2
"OTU_2197",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,2,0,4,0,0,2,0,0
"OTU_2685",0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
"OTU_1645",0,1,1,2,1,2,2,0,0,0,2,0,0,2,0,6,2,1,2,1,1,5,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,3,2,0,0,1,3,6,0
"OTU_3908",0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,6,0,1,1,1,4,0
"OTU_1354",0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,1,0,0,3,0,1,0,0,0,4,1,2,9,0
"OTU_2029",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
"OTU_3508",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,9
"OTU_3423",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"OTU_658",0,4,0,2,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,2,1,5,1,4,1,10,5,0,11,0,3,1,0,14,0,10,5,0,13,1,5,1,1,5,1,10
"OTU_4449",0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,10,1,10,23,4,15,51,0,45,0,14,7,2,25,0,5,0,0,19,0,11,0,3,6,0,1,0,0,1,0,0
"OTU_5112",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_1882",0,4,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,2,0,0,3,1,2
"OTU_4580",0,1,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"OTU_500",0,1,1,0,1,0,0,0,0,0,45,34,8,15,7,59,9,15,50,18,21,31,4,41,0,25,7,2,31,1,9,3,6,15,0,2,0,1,1,0,1,0,1,0,0,0
"OTU_1419",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,19
"OTU_3807",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"OTU_2148",0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"OTU_2811",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,1,1,0,4
"OTU_3445",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
"OTU_1698",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,1,0,1,0,0,3,1,0,1,3,1,3,1,1,0,2,0,0,0,6
"OTU_4855",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"OTU_1662",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,1,1,0,0,7
"OTU_4255",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_659",0,2,0,1,0,0,0,0,0,0,3,2,1,1,0,19,4,11,18,7,13,20,7,18,0,18,14,4,20,2,11,7,3,9,0,2,2,1,14,0,1,0,1,0,0,0
"OTU_1594",0,2,2,0,0,0,0,0,0,0,8,6,2,4,0,13,4,5,22,1,5,14,6,13,0,5,3,1,6,0,0,2,1,2,0,1,2,0,1,0,0,1,1,0,1,2
"OTU_2683",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3
"OTU_998",0,2,1,0,2,2,0,0,0,0,10,0,7,3,7,5,0,1,0,4,1,2,1,3,3,3,0,4,1,4,2,1,4,3,2,0,0,2,2,2,0,0,3,0,0,0
"OTU_2419",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_2633",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,3,0,2,0,0,1,0,1,1,2,1,0,2,0,2,0,0,0,0,2,0,1,5
"OTU_1888",0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,1,8,5,3,8,0,5,0,2,2,0,9,0,2,1,3,4,0,9,5,1,8,0,1,3,0,2,1,1
"OTU_2930",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0
"OTU_3528",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2
"OTU_2728",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0
"OTU_2250",0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"OTU_1441",0,3,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,3,2,4,0,1,0,2,3,2,0,4,2,7,0,2,0,0,4,1,2,2,2,1,0,0,0
"OTU_3827",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,4
"OTU_3097",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_3196",0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"OTU_3198",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"OTU_2220",0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
"OTU_2157",0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,11
"OTU_2912",0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,5
"OTU_3975",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"OTU_1247",0,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,2,2,0,1,2,3,11,6,0,0,0,1,0,0,2,0,2,4,0,0
"OTU_3001",0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,1,0,0,3,0,5,0,0,0,0,2,0,0,0,2,1,0,0,0,0,3,0,0,0,0,2,0,0
"OTU_2638",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,0,0,0,1,2,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,1,6
"OTU_3170",0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"OTU_4880",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"OTU_82",0,5,1,1,0,0,0,1,0,0,62,73,47,122,743,62,140,6,27,185,117,104,109,116,57,38,54,22,56,44,48,64,46,58,6,3,10,14,13,6,3,1,4,5,0,1
"OTU_4244",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_3350",0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,2,0,0,0,0,1,4,0,1,1,5,0,0,0
"OTU_2982",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
"OTU_2645",0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0
"OTU_4705",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0
"OTU_4319",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"OTU_1730",0,8,0,0,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,2,0,0,1,3,1,0
"OTU_1711",0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,5,0,1,1,0,0
"OTU_2956",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"OTU_4521",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"OTU_4309",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_4782",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_2268",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8
"OTU_1671",0,1,0,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0
"OTU_2068",0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,0,0
"OTU_4800",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4864",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_1219",0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,2,1,1,0,0,0,0,4,0,2,0,0,1,0,4,1,1,3,0,0
"OTU_1334",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,0,2,4,0,8,1,0,4,0,2,1,0,1,2,0
"OTU_4335",0,1,2,0,3,0,1,1,0,1,0,0,0,0,9,0,2,0,0,0,0,1,0,0,3,1,0,0,1,0,1,2,1,4,0,2,3,2,4,2,0,0,1,5,4,0
"OTU_1160",0,1,0,0,0,1,1,0,0,2,432,358,118,430,120,196,134,60,138,321,50,117,44,141,0,30,27,27,47,11,17,21,12,23,2,6,5,7,21,0,4,2,3,4,0,0
"OTU_1006",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,5,32,2,2,6,0,19,0,5,9,0,7,0,0,0,1,4,0,1,1,0,2,0,2,0,0,1,0,0
