"","10A-16S","10B-16S","10C-16S","10D-16S","10E-16S","16A-16S","16B-16S","16C-16S","16D-16S","16E-16S","1A-16S","1B-16S","1C-16S","1D-16S","1E-16S","2A-16S","2B-16S","2C-16S","2D-16S","2E-16S","3A-16S","3B-16S","3C-16S","3D-16S","3E-16S","4A-16S","4B-16S","4C-16S","4D-16S","4E-16S","5A-16S","5B-16S","5C-16S","5D-16S","5E-16S","6A-16S","6B-16S","6C-16S","6D-16S","6E-16S","8A-16S","8B-16S","8C-16S","8D-16S","8E-16S","D0-16S"
"OTU_1466",3,2,2,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,1,1,2,2,1,0,0,2,1,1,6,0,5,2,0,2,0,12,2,1,3,0,2,2,1,4,0,3
"OTU_4120",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,1,1,0,2,1,0,2,2,0,0,0,2,0,0,0,1,0,0,0,1,10
"OTU_3166",14,0,39,0,27,1,9,26,0,64,0,0,0,0,0,0,1,0,0,1,3,0,6,2,30,0,0,12,0,5,3,44,2,0,48,1,1,35,0,67,1,1,29,0,46,0
"OTU_749",3,6,6,5,6,2,3,3,0,8,0,0,0,0,0,1,0,0,0,0,2,0,2,0,4,0,1,4,0,0,1,1,3,2,5,1,9,3,1,11,8,1,6,16,5,3
"OTU_2062",2,3,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,2,2,0,2,2,2,0,1,0,0,1,1,1,2,0,1,0,2,0,1,2,1,2,0,1,1,1,7
"OTU_2319",3,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,2,2,0,1,0,1,0,2,0
"OTU_1022",5,1,2,1,4,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,5,0,0,3,0,0,2,1,6,0,0,5,1,6,0
"OTU_2705",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"OTU_117",6,26,2,7,4,0,1,0,1,3,11,26,2,2,0,128,46,79,256,47,99,430,15,234,2,163,128,9,304,6,61,25,27,138,0,204,26,6,141,0,38,11,2,30,8,1
"OTU_4963",1,3,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,3,0,0,0,3,0,0,3,3,1,3,0,2,1,0,1,0,0
