OTU_344	0.0	0.8	26.0	55.4	96.2	82.6	61.4	58.0	18.2	17.2	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_53	3.0	29.2	13.8	32.6	7.8	36.6	19.4	11.6	81.0	23.8	k_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Cystofilobasidiales;f_Cystofilobasidiaceae;g_Cystofilobasidium;s_unidentified
OTU_613	0.0	0.8	85.6	165.8	216.2	151.8	134.4	121.8	52.0	37.4	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_38	0.0	0.0	47.8	85.8	118.6	104.8	112.6	58.4	15.8	6.0	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_809	0.0	0.6	1.6	3.6	12.0	9.2	86.8	59.6	46.0	86.8	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Microascales;f_Halosphaeriaceae;g_Natantispora;s_unidentified
OTU_17	1.0	8.8	134.0	300.4	390.2	300.2	245.0	172.0	79.2	59.2	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_227	0.0	1.2	47.0	105.4	117.6	102.0	102.4	98.2	35.4	25.4	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_951	0.0	1.8	58.8	129.2	191.0	137.8	101.8	95.2	42.8	31.4	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_524	0.0	2.0	79.0	193.8	227.6	209.6	196.2	153.4	61.0	41.6	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_12	83.0	238.6	1855.8	325.4	218.0	554.4	392.4	102.8	114.8	65.6	k_Fungi;p_Ascomycota;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_225	0.0	0.2	12.2	23.2	34.8	22.0	23.4	19.6	7.4	2.8	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_9	14.0	2520.8	612.2	554.4	143.2	180.8	21.8	11.8	23.8	20.2	k_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Tremellales_fam_Incertae_sedis;g_Cryptococcus;s_unidentified
OTU_31	1.0	525.2	143.4	267.4	143.0	126.8	25.8	27.2	39.6	10.8	k_Fungi;p_Ascomycota;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_Ascomycota_sp
OTU_71	0.0	0.2	14.2	27.2	39.6	27.4	25.6	27.8	9.8	8.6	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_808	0.0	1.6	42.6	82.8	113.6	93.0	87.0	58.6	28.2	14.6	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_229	0.0	3.2	66.8	174.6	230.2	173.2	167.4	156.2	66.4	45.8	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_583	0.0	0.0	2.0	8.2	16.2	9.0	10.0	10.4	2.0	0.6	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_817	0.0	0.8	22.6	46.0	65.8	54.2	55.2	54.8	19.0	13.6	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
